LANDMARK_ID,DESCRIPTION,TYPE
L0000060,LGNSSBA,Picnic Area
L0000061,LXCHLJW,Parking Area
L0000039,UGGQEDC,Restroom
L0000010,PNGWACN,Picnic Area
L0000058,JQCZOXH,Historic Site
L0000059,IXQKGGC,Cave
L0000043,SZHKRQV,Bridge
L0000062,SVIHOZH,Rock Formation
L0000006,NJTGIKF,Bridge
L0000025,MPTRKJG,Gazebo
L0000044,GFGPVOJ,Gazebo
L0000007,EGFQCEZ,Bridge
L0000026,FQPOUIH,Pet Waste Station
L0000045,DPTKPZE,Visitor Center
L0000008,XUOSAZF,Rock Formation
L0000027,LDJVXKJ,Waterfall
L0000046,XQRENLK,Overlook
L0000063,NOXSQEG,Rock Formation
L0000064,ZZXGVSO,Bridge
L0000030,BQZTEQV,Gazebo
L0000011,AKJKHKE,Picnic Area
L0000031,MYZTYPT,Gazebo
L0000012,LTNZTYY,Parking Area
L0000050,NABGPUF,Pet Waste Station
L0000013,FMAOLLZ,Cave
L0000009,GKANDMY,Parking Area
L0000028,NEVCTYI,Entrance
L0000047,MFEDBIW,Fountain
L0000029,ICCYNHH,Parking Area
L0000048,VPEMVDI,Cave
L0000049,PCJFUOJ,Cave
L0000032,UILMDYC,Gazebo
L0000051,GUTCHHK,Waterfall
L0000033,YMNHTUP,Parking Area
L0000014,RJSRMDJ,Pet Waste Station
L0000052,GAKNTLX,Pet Waste Station
L0000034,BIIMWIH,Rock Formation
L0000015,XZPHFXL,Overlook
L0000053,AOITPAV,Restroom
L0000016,ZCGIHAQ,Picnic Area
L0000035,NMJIPAH,Fountain
L0000020,KTMROUU,Gazebo
L0000001,WZBHXDQ,Cave
L0000021,CEFEDGL,Waterfall
L0000002,BIGMDJN,Pond
L0000054,LGQAPNR,Fountain
L0000017,MYWPFIG,Picnic Area
L0000036,MMMBESU,Waterfall
L0000055,OKRYTKD,Campsite
L0000018,YIDJFIO,Fountain
L0000037,MFUKJBK,Campsite
L0000056,QHXPVBN,Cave
L0000019,LAFASXP,Gazebo
L0000038,XKCVEMH,Gazebo
L0000057,MIZTENW,Bridge
L0000040,XZKFQTB,Bridge
L0000022,YFBMGAC,Cave
L0000003,BJSDGBX,Picnic Area
L0000041,ALGKRSG,Pet Waste Station
L0000004,HBEIQGD,Garden
L0000023,BGKNNVE,Pet Waste Station
L0000042,EQCPZXN,Rock Formation
L0000005,IRAXACU,Waterfall
L0000024,ADIVMMH,Pet Waste Station
