LANDMARK_ID,LANDMARK_ID,DISTANCE
L0012668,L0013461,5163
L0013911,L0007593,12670
L0011799,L0000617,866
L0007906,L0010915,15616
L0015487,L0009476,58
L0007445,L0006321,13574
L0001329,L0010048,11623
L0014626,L0007562,12603
L0011223,L0000779,3604
L0009354,L0000887,9632
L0014118,L0004974,4487
L0012629,L0005475,13286
L0010121,L0016221,1781
L0008705,L0014680,12094
L0002751,L0002286,449
L0015145,L0009417,687
L0010603,L0011623,16248
L0000152,L0000988,14707
L0012295,L0004203,5487
L0003911,L0013719,495
L0015470,L0002961,3486
L0008512,L0003373,2682
L0007999,L0008187,4431
L0012395,L0004464,3841
L0000272,L0014243,14501
L0008577,L0014899,624
L0002324,L0001395,992
L0007110,L0001062,12065
L0013482,L0001821,11256
L0001228,L0003571,7266
L0011818,L0001243,12653
L0012931,L0011281,11915
L0010597,L0009719,7170
L0006898,L0010620,8807
L0004656,L0013054,8561
L0005067,L0011531,8771
L0014874,L0015657,15092
L0009090,L0013540,13468
L0010478,L0006633,2463
L0005784,L0000208,9462
L0014771,L0005445,290
L0007968,L0000736,7616
L0004959,L0012211,8924
L0011051,L0012521,14102
L0006870,L0001847,12722
L0000273,L0012045,4024
L0006058,L0010587,6242
L0015997,L0015133,8188
L0004745,L0000817,10721
L0000766,L0013615,3331
L0002280,L0011732,1684
L0012695,L0007800,14054
L0008915,L0008859,1322
L0005443,L0014817,13344
L0016370,L0000563,8355
L0001456,L0006613,6507
L0004160,L0010012,3319
L0004684,L0004831,2132
L0003194,L0004931,12721
L0010361,L0003659,13325
L0011675,L0009068,11429
L0001082,L0008607,5904
L0008880,L0000226,2730
L0004555,L0007301,5564
L0004853,L0005779,8357
L0013879,L0001803,9084
L0008467,L0002178,4382
L0015915,L0013766,15794
L0002431,L0011803,3392
L0011818,L0007616,6284
L0003227,L0005143,282
L0005040,L0009140,4282
L0003174,L0005126,6767
L0011325,L0011379,749
L0001836,L0001806,14496
L0004163,L0015366,4471
L0014608,L0010611,5275
L0002886,L0010425,7503
L0009249,L0003014,7453
L0011606,L0015649,7589
L0008860,L0015393,15519
L0002864,L0001870,13446
L0002106,L0015245,10731
L0003463,L0016301,7368
L0009089,L0013428,3158
L0008793,L0014751,10472
L0012345,L0002411,8058
L0008894,L0007832,572
L0013491,L0008138,16289
L0000780,L0010188,9226
L0014897,L0011946,9931
L0015365,L0007805,6704
L0014593,L0010093,4674
L0008908,L0011046,4299
L0002548,L0004543,953
L0008601,L0002027,2390
L0009591,L0015594,12818
L0004111,L0003163,9306
L0015132,L0000956,4110
L0009646,L0012395,12472
L0006363,L0009003,13365
L0002951,L0010894,1366
L0002177,L0001655,15549
L0015621,L0012262,2297
L0010192,L0011936,7831
L0005979,L0014342,5977
L0001044,L0004297,2105
L0005446,L0013258,14114
L0011988,L0003600,6263
L0009045,L0011984,12223
L0008157,L0010633,3710
L0004094,L0013257,10423
L0012812,L0011684,13253
L0004475,L0013992,4328
L0003810,L0002024,5077
L0001166,L0010461,6204
L0009538,L0001084,1599
L0001709,L0014927,14975
L0001608,L0008559,14587
L0013769,L0011834,833
L0001992,L0007459,10099
L0008358,L0013206,14307
L0001008,L0008568,10870
L0003536,L0015634,572
L0000567,L0002102,11674
L0015954,L0008645,1039
L0010633,L0008543,2079
L0003259,L0000094,11733
L0006646,L0003597,10361
L0006251,L0006464,14355
L0007133,L0010010,3801
L0000296,L0002189,1996
L0008609,L0002605,2568
L0000912,L0014819,13596
L0004491,L0014143,7862
L0011188,L0003122,10506
L0010668,L0001618,2391
L0007787,L0001473,508
L0003870,L0008814,10974
L0011049,L0012487,5848
L0014186,L0011656,12806
L0007730,L0002605,15918
L0004872,L0008681,10219
L0005260,L0006301,8994
L0005303,L0013562,14849
L0007517,L0003522,13825
L0003143,L0002844,1159
L0009627,L0012810,1174
L0005653,L0014714,3094
L0007159,L0013686,16036
L0004725,L0012311,8221
L0009469,L0015659,9787
L0007984,L0005553,7250
L0009747,L0014767,15340
L0005471,L0010054,12344
L0004391,L0014636,12274
L0005942,L0014601,2297
L0003617,L0008896,2279
L0006226,L0003587,3537
L0008053,L0014916,10855
L0004331,L0009793,12070
L0011753,L0011258,12794
L0008418,L0006584,13823
L0010521,L0001543,5900
L0001888,L0012740,3889
L0000187,L0008906,10237
L0013871,L0003814,12574
L0010480,L0009622,4434
L0014396,L0003174,1265
L0002629,L0014480,13215
L0003378,L0010854,11843
L0015626,L0008033,13418
L0015305,L0013556,1947
L0008505,L0012906,3903
L0013429,L0009833,11418
L0004228,L0008767,11793
L0010122,L0008122,10056
L0015026,L0003101,7480
L0004813,L0013245,197
L0011164,L0003596,8766
L0012092,L0003931,4402
L0003149,L0003098,330
L0004715,L0010191,12374
L0000865,L0007057,14223
L0010969,L0015405,2510
L0001998,L0013657,6109
L0008692,L0012636,14431
L0008874,L0001328,5829
L0014224,L0000395,11831
L0014281,L0008486,4785
L0016205,L0005125,8912
L0007932,L0013670,1008
L0015558,L0002852,10087
L0005258,L0008490,5624
L0010106,L0011354,119
L0008369,L0014464,8332
L0011677,L0011316,14993
L0014716,L0012130,7638
L0012389,L0003261,10234
L0011008,L0002702,13138
L0013129,L0013894,8270
L0012344,L0001837,13823
L0005804,L0004320,13243
L0009828,L0015348,560
L0006323,L0014216,6375
L0015569,L0002597,2671
L0004759,L0003831,6740
L0014164,L0012958,15588
L0010033,L0015002,2269
L0004115,L0006145,7358
L0003138,L0001120,6408
L0002349,L0009564,10831
L0012108,L0008954,11415
L0007799,L0009973,5562
L0003881,L0007850,12226
L0001889,L0005906,14725
L0004213,L0001039,10328
L0010548,L0002298,13213
L0005108,L0004882,3889
L0006839,L0002738,15796
L0008624,L0008304,9110
L0010379,L0007293,3909
L0002933,L0012095,4988
L0016039,L0015528,6790
L0000357,L0006427,10526
L0000868,L0002085,12231
L0009363,L0009888,1737
L0000428,L0012930,7589
L0016158,L0010611,4823
L0008746,L0013407,12785
L0006151,L0001078,6402
L0010928,L0013294,12195
L0012968,L0014403,9740
L0007558,L0008161,5923
L0006480,L0000166,8335
L0013087,L0012640,4551
L0006670,L0009171,8262
L0010218,L0000056,5309
L0004323,L0002373,8039
L0010519,L0000760,12640
L0015468,L0002868,16034
L0014503,L0005477,8603
L0007429,L0003551,3275
L0004627,L0000666,10583
L0014494,L0006957,2643
L0008745,L0005633,13713
L0015233,L0004080,15132
L0011178,L0002335,3848
L0007931,L0000764,108
L0006384,L0009071,379
L0007169,L0009263,2968
L0002218,L0009248,8635
L0011651,L0003147,6638
L0005174,L0004044,6862
L0016252,L0014119,12192
L0004956,L0009658,12348
L0010946,L0016099,3293
L0008255,L0002183,2109
L0016203,L0003316,11369
L0006353,L0004633,12870
L0002642,L0002001,15533
L0006399,L0008307,1948
L0014458,L0014718,10595
L0003319,L0002602,6838
L0005982,L0006142,3736
L0010770,L0012517,12363
L0005499,L0011552,4751
L0011258,L0014854,3091
L0000421,L0001141,9681
L0001885,L0002581,751
L0009898,L0001946,10531
L0011957,L0003873,2294
L0007816,L0008989,9766
L0007321,L0014939,4995
L0005845,L0008290,4631
L0002035,L0013552,7530
L0008750,L0005250,6060
L0003331,L0007427,10512
L0002500,L0011238,15677
L0007865,L0003301,1019
L0001017,L0015913,10695
L0013583,L0004577,15073
L0007564,L0002624,211
L0010930,L0007171,7757
L0009059,L0002409,2161
L0004736,L0004893,10214
L0011632,L0004805,14547
L0005901,L0016134,12655
L0013148,L0012165,181
L0013713,L0004769,7724
L0006112,L0010997,4541
L0006378,L0007069,6340
L0012416,L0015168,4714
L0011549,L0012196,8665
L0013909,L0010960,2589
L0010033,L0012396,1790
L0011285,L0001792,12999
L0014481,L0007150,3144
L0012067,L0000772,8561
L0009957,L0000324,4349
L0007548,L0001289,3847
L0003571,L0003413,14044
L0015094,L0005112,9715
L0002761,L0013296,2878
L0004372,L0001893,13676
L0008580,L0003010,14833
L0010310,L0010471,4602
L0014732,L0008120,13504
L0015510,L0012086,4897
L0002445,L0004996,733
L0016186,L0009227,5
L0009152,L0003585,1584
L0015136,L0012528,5260
L0001230,L0002681,14949
L0011006,L0011404,2689
L0015140,L0007629,6331
L0010141,L0013046,3760
L0001366,L0008718,6861
L0004115,L0005072,15126
L0001657,L0013934,10109
L0015988,L0015577,6168
L0005459,L0000666,15577
L0010914,L0002059,11439
L0003450,L0003895,806
L0002748,L0010654,1346
L0002860,L0005891,2178
L0014717,L0014071,6302
L0009026,L0004349,14626
L0011437,L0014572,14307
L0003829,L0008402,5817
L0009813,L0011591,15881
L0001942,L0004627,2727
L0000231,L0015958,12344
L0005759,L0012413,5394
L0007477,L0009668,11942
L0006737,L0009681,2162
L0009885,L0003888,253
L0015061,L0015764,2413
L0009843,L0011611,14945
L0011695,L0000967,15706
L0006372,L0005014,9574
L0015694,L0002472,223
L0015709,L0000790,7896
L0003000,L0008766,12330
L0016060,L0004698,13237
L0004163,L0002589,16164
L0003561,L0008828,12436
L0005052,L0007075,1460
L0016089,L0000019,7377
L0008776,L0003705,10654
L0016053,L0010589,1293
L0012418,L0010635,15440
L0012594,L0005109,8822
L0011124,L0012658,1236
L0010678,L0009506,2493
L0008845,L0016203,10378
L0013824,L0014560,16004
L0000408,L0001020,4117
L0005948,L0011371,14744
L0016374,L0011066,5522
L0004210,L0012727,1646
L0012487,L0003564,15512
L0012333,L0002786,8744
L0000686,L0014064,15026
L0015705,L0007619,10065
L0016357,L0010728,9323
L0015434,L0010066,14721
L0001745,L0006469,9502
L0016202,L0014581,5686
L0004792,L0004022,13615
L0006510,L0015319,2076
L0009920,L0014259,8245
L0006040,L0001032,8393
L0011668,L0003680,11824
L0001815,L0015252,14735
L0001363,L0007559,13035
L0000667,L0005484,9176
L0012015,L0001813,9626
L0003132,L0001679,6593
L0010424,L0003821,9874
L0015949,L0003002,10824
L0000656,L0010756,8944
L0012519,L0006233,2673
L0008391,L0014166,9791
L0010515,L0015201,7543
L0003710,L0012536,5042
L0005142,L0006813,9771
L0013122,L0001804,13497
L0005789,L0010526,10749
L0011461,L0004916,6889
L0003559,L0006195,14030
L0007449,L0006485,7841
L0013166,L0009711,11098
L0013150,L0015695,10490
L0001136,L0014757,12199
L0006122,L0006339,1795
L0009636,L0006037,16243
L0004877,L0007018,7884
