LANDMARK_ID,DESCRIPTION,TYPE
L0011629,YHHTSZR,Overlook
L0040145,VPTJMTN,Overlook
L0025388,OTEGPYI,Waterfall
L0013614,QHRBPYG,Restroom
L0027373,XMUMLZS,Bridge
L0044971,BRQYSRS,Bridge
L0047959,TZVAXRO,Gazebo
L0062716,GEORWXF,Picnic Area
L0020767,QFEUICI,Overlook
L0000181,VDWVGKW,Historic Site
L0022752,IPWRBUQ,Picnic Area
L0007995,CLLNUNV,Visitor Center
L0009980,XWGHGCW,Picnic Area
L0031890,FKSUEBG,Restroom
L0027038,FJQWKSM,Fountain
L0049609,RVAMYBL,Picnic Area
L0029023,BYBYAWM,Pet Waste Station
L0022417,FEYFFHR,Parking Area
L0036176,TGFHZKJ,Entrance
L0009645,EJBCANR,Pond
L0024402,AHEXXAN,Restroom
L0038161,FBTMUHK,Overlook
L0058747,FTFTVNK,Pond
L0031555,INDBUGT,Garden
L0016798,EQDXRWX,Bridge
L0033540,BRPNLHL,Pet Waste Station
L0018783,NCTWPZG,Pet Waste Station
L0060071,DRNONFN,Entrance
L0036528,RPNWQSN,Entrance
L0063059,FIDWDII,Gazebo
L0040693,IEQXKJA,Garden
L0031907,DUGEEAU,Gazebo
L0023095,ZDFSAOW,Fountain
L0011321,TPMOJLN,Garden
L0045666,HYJFVHD,Entrance
L0060423,DBWATNV,Cave
L0047316,FEGMOCS,Restroom
L0049301,PAXXNXD,Overlook
L0020124,TISSNFL,Visitor Center
L0005367,GLPKZJV,Rock Formation
L0027938,WYGRWLI,Waterfall
L0007352,ZDSNWCI,Restroom
L0029923,LBWHFXF,Fountain
L0054469,RWQKSJI,Overlook
L0056454,CXJPVPB,Gazebo
L0002731,LDGTWDL,Visitor Center
L0051833,QFZHNLA,Restroom
L0016490,KHWNKRR,Historic Site
L0005719,KPCUWMF,Waterfall
L0034235,MVQRUDT,Garden
L0019478,GQDWGWL,Pet Waste Station
L0007704,PPIDMXC,Campsite
L0056806,QEEOLAP,Rock Formation
L0060971,WSVLCAZ,Picnic Area
L0041388,TNHXORL,Picnic Area
L0014857,KUGNFIC,Bridge
L0043373,HVOBTTO,Overlook
L0016842,AWPJJLN,Cave
L0063959,SYXJDKC,Gazebo
L0009002,FAARSCN,Bridge
L0023995,VLYGRUD,Pet Waste Station
L0058104,GRILTYJ,Bridge
L0025980,CPHBPRP,Historic Site
L0018140,KIARHMT,Pet Waste Station
L0043038,UJNVEOJ,Waterfall
L0016507,DIOPURX,Garden
L0045023,LKQAAPO,Fountain
L0003074,WSIGIMM,Bridge
L0025645,PSZLXBP,Restroom
L0040402,YCOPKWC,Campsite
L0027630,RABJEWK,Campsite
L0052176,DLUIMHQ,Visitor Center
L0008047,ZKJRLUQ,Cave
L0054161,PSHAGCG,Campsite
L0057149,RROITRO,Waterfall
L0034783,QUKKFYP,Picnic Area
L0003426,PXZVSCD,Cave
L0052528,LGEGMFP,Cave
L0017185,VFIPDYC,Waterfall
L0005411,IGVOFFE,Pet Waste Station
L0039756,YHXRRKY,Pet Waste Station
L0010579,LNSZSYK,Entrance
