LANDMARK_ID,LANDMARK_ID,DISTANCE
L0000877,L0000206,389
L0000602,L0000209,519
L0000202,L0000251,60
L0000546,L0000779,1017
L0000170,L0000289,298
L0000565,L0000416,709
L0000987,L0000106,458
L0000194,L0000032,289
L0000659,L0000974,179
L0000750,L0000436,538
L0000907,L0000010,408
L0000670,L0000510,196
L0000745,L0000137,108
L0000265,L0000772,410
L0000672,L0000864,410
L0000620,L0000245,543
L0000791,L0000140,451
L0000510,L0000903,277
L0000077,L0000960,530
L0000784,L0000613,860
L0000926,L0001015,340
L0000139,L0000894,982
L0000921,L0000359,1013
L0000924,L0000182,409
L0000287,L0000392,107
L0000867,L0000443,766
L0000607,L0000731,453
L0000030,L0000665,378
L0000023,L0000205,570
L0000165,L0000680,513
L0000363,L0000498,328
L0001019,L0000714,785
L0000229,L0000110,84
L0000862,L0000788,526
L0000344,L0000438,179
L0000700,L0000516,913
L0000181,L0000013,952
L0000744,L0000472,996
L0000234,L0000497,925
L0000624,L0000256,124
L0000332,L0000079,38
L0000550,L0000971,870
L0000721,L0000375,20
L0000617,L0000523,10
L0000631,L0000193,282
L0000382,L0000683,68
L0000888,L0000334,290
L0001008,L0000683,323
L0000399,L0000219,898
L0000964,L0000975,163
L0000125,L0000315,466
L0000747,L0000978,851
L0000768,L0000272,399
L0000370,L0000917,747
L0000358,L0000139,86
L0000258,L0000716,350
L0000338,L0000904,832
L0000710,L0000613,416
L0000808,L0000416,967
L0000087,L0000212,623
L0000530,L0000560,517
L0000539,L0000247,753
L0000901,L0000735,84
L0000936,L0000382,376
L0000422,L0000212,157
L0000228,L0000288,472
L0000870,L0000699,682
L0000466,L0000064,306
L0000141,L0000636,141
L0000584,L0000604,695
L0000459,L0000120,16
L0000231,L0000960,880
L0000218,L0000953,826
L0000451,L0000034,539
L0000173,L0000190,674
L0000557,L0000563,537
L0000368,L0000316,533
L0000969,L0000303,925
L0000462,L0000686,769
L0000445,L0000250,446
L0000859,L0000159,256
L0000241,L0000752,236
L0000628,L0000201,157
L0000644,L0000139,1022
L0000105,L0000795,855
L0000043,L0000174,404
L0000379,L0000850,560
L0000261,L0000654,353
L0000832,L0000541,155
L0000685,L0000877,762
L0000088,L0000014,136
L0000348,L0000927,223
L0000410,L0000875,175
L0000211,L0000932,306
L0000760,L0000699,44
L0000851,L0000277,234
L0000845,L0000772,682
L0000339,L0000271,821
L0000620,L0000887,394
L0000045,L0000866,387
L0000815,L0000819,7
L0000075,L0000581,304
L0000813,L0000721,192
L0000160,L0000718,754
L0000755,L0000618,329
L0000522,L0000748,393
L0000377,L0000159,785
L0000377,L0000556,468
L0000719,L0000412,486
L0000319,L0000369,209
L0000889,L0000660,987
L0000001,L0000403,182
L0000015,L0000598,32
L0000341,L0000320,1002
L0000511,L0000696,772
L0000886,L0000591,997
L0000648,L0000221,1010
L0000367,L0000500,587
L0000902,L0000821,791
L0000343,L0000803,122
L0000184,L0000071,49
L0000246,L0000999,437
L0000398,L0000072,571
L0000414,L0000060,681
L0000110,L0000504,89
L0000664,L0000467,550
L0000651,L0000362,414
L0000059,L0000478,472
L0000252,L0000839,432
L0000540,L0000693,196
L0000951,L0000588,694
L0000660,L0000347,432
L0000897,L0000539,798
L0000593,L0000095,520
L0000703,L0000782,869
L0000276,L0000521,407
L0000643,L0000949,751
L0000403,L0000746,607
L0000414,L0000689,975
L0000575,L0000381,573
L0000921,L0000162,733
L0000854,L0000498,124
L0000995,L0000609,26
L0000023,L0000103,244
L0000033,L0000299,412
L0000324,L0000427,282
L0000376,L0000432,857
L0000861,L0000023,984
L0000169,L0000849,345
L0000305,L0000878,906
L0000559,L0000326,466
L0000495,L0000732,853
L0000482,L0000104,944
L0000461,L0000692,601
L0000589,L0000294,453
L0000169,L0000106,751
L0000983,L0000714,231
L0000393,L0000979,964
L0000605,L0000493,935
L0000415,L0000360,177
L0000278,L0000320,658
L0000146,L0000789,919
L0000659,L0000437,219
L0000284,L0000444,342
L0000162,L0000070,131
L0000755,L0000914,144
L0000554,L0000586,643
L0000656,L0000009,212
L0000350,L0000259,431
L0000828,L0000208,189
L0000963,L0000156,837
L0000142,L0000704,748
L0000598,L0000040,1009
L0000588,L0000058,630
L0000216,L0000891,627
L0000409,L0000710,805
L0000105,L0000439,711
L0000046,L0000245,958
L0000319,L0000830,382
L0000971,L0000512,492
L0000792,L0000150,302
L0000046,L0000229,841
L0000826,L0000152,967
L0000541,L0000096,220
L0000987,L0000385,830
L0000264,L0000906,772
L0000528,L0000983,24
L0000097,L0000388,928
L0000481,L0000543,865
L0000019,L0000991,1004
L0000845,L0001013,98
L0000224,L0000200,358
L0000630,L0000948,371
L0000572,L0000307,555
L0000281,L0000282,420
L0000078,L0000982,175
L0000481,L0000519,2
L0000325,L0000953,762
L0000020,L0000790,375
L0000579,L0000017,331
L0000538,L0000016,952
L0000015,L0000386,696
L0000976,L0000984,959
L0000113,L0000228,115
L0000404,L0000403,815
L0000380,L0000457,237
L0000898,L0000655,433
L0000602,L0000342,198
L0000769,L0000353,828
L0000374,L0000702,42
L0000764,L0000556,97
L0000597,L0000682,159
L0000542,L0000926,202
L0000535,L0000494,307
L0000347,L0000122,207
L0000063,L0000711,827
L0000169,L0000658,350
L0000505,L0000379,1
L0000211,L0000509,309
L0000964,L0000395,614
L0000161,L0000839,346
L0000831,L0000844,373
L0000629,L0000501,506
L0000042,L0000818,503
L0000015,L0000604,132
L0000431,L0000713,878
L0000441,L0000942,981
L0000761,L0000101,410
L0000767,L0000174,53
L0000456,L0000213,46
L0000806,L0000122,984
L0000523,L0000572,815
L0000366,L0000586,880
L0000962,L0000724,277
L0000170,L0000332,447
L0000588,L0000451,720
L0000361,L0000502,46
L0000844,L0000747,413
L0000715,L0000333,331
L0000175,L0000804,400
L0000855,L0000695,530
L0000208,L0000692,915
L0000872,L0000490,95
L0000354,L0000531,866
L0000384,L0000366,807
L0000411,L0000233,941
L0000731,L0000199,213
L0000935,L0000439,997
L0000749,L0000517,296
L0000479,L0000116,683
L0000126,L0000915,262
L0000120,L0000242,933
L0000310,L0000228,73
L0000014,L0000958,653
L0000260,L0000428,892
L0000692,L0000763,661
L0000200,L0000122,275
L0000792,L0000600,491
L0000999,L0001021,249
L0000245,L0000538,227
L0000781,L0000691,269
L0000141,L0000004,443
L0001014,L0000803,505
L0000464,L0001008,452
L0000225,L0000862,802
L0000737,L0000327,638
L0000454,L0000254,417
L0000878,L0000903,307
L0001006,L0000227,423
L0000520,L0000615,721
L0000345,L0000299,533
L0000162,L0000529,881
L0000310,L0000069,870
L0000188,L0000327,303
L0000183,L0001017,151
L0000658,L0000322,520
L0000077,L0000479,429
L0000935,L0000027,250
L0000605,L0000390,500
L0000549,L0000441,758
L0000855,L0000733,321
L0000920,L0000172,916
L0000789,L0000525,277
L0000166,L0000084,772
L0000958,L0000421,624
L0000104,L0000465,801
L0000180,L0000604,480
L0000786,L0000410,172
L0000206,L0001008,777
L0000022,L0000193,597
L0000732,L0000793,373
L0000667,L0000301,1004
L0000588,L0000487,15
L0000654,L0000422,49
L0000304,L0000783,176
L0000654,L0000945,499
L0000759,L0000552,580
L0000977,L0000279,459
L0000132,L0000659,907
L0000986,L0000347,659
L0000698,L0000367,637
L0000434,L0000031,86
L0000576,L0000107,703
L0000207,L0000455,620
L0000407,L0000112,759
L0000037,L0000055,783
L0000897,L0000893,793
L0000202,L0000236,931
L0000970,L0000082,502
L0000399,L0000414,635
L0000853,L0000831,678
L0000811,L0000222,386
L0000651,L0000520,826
L0000660,L0000340,996
L0000405,L0000402,948
L0000738,L0000148,390
L0000013,L0000797,599
L0000734,L0000205,308
L0000375,L0000285,863
L0000099,L0000420,389
L0000673,L0000093,792
L0000834,L0000024,417
L0000009,L0000668,327
L0000435,L0000587,946
