LANDMARK_ID,DESCRIPTION,TYPE
L0015241,QXQIPGT,Visitor Center
L0007530,FNGYOAJ,Fountain
L0016052,HLEVSQZ,Gazebo
L0006060,YIBLJTN,Picnic Area
L0015400,BNSIBIC,Waterfall
L0009579,BIIXJIV,Pond
L0003949,OLBLAWR,Pet Waste Station
L0001668,FITNJZE,Fountain
L0005101,WWTIBDY,Picnic Area
L0012778,ZHYEMJR,Pet Waste Station
L0016211,MWMVMLD,Entrance
L0002786,RNXJZYV,Visitor Center
L0000709,SFNFMWK,Cave
L0002479,RCBUNJL,Entrance
L0000198,DIPTLNX,Picnic Area
L0013896,YKESRWQ,Garden
L0009738,FHRWBGZ,Visitor Center
L0013589,TJGYQPC,Rock Formation
L0001827,NZTIHPD,Entrance
L0003597,ABFUPKI,Campsite
L0012937,TQBBWUT,Historic Site
L0008575,HWCWKMH,Parking Area
L0010349,PHXURHZ,Restroom
L0008268,YYAANFS,Fountain
L0002945,NWVKLYY,Garden
L0004919,SEZNZKH,Fountain
L0002638,ZRKDWMU,Entrance
L0000357,LEEKPXM,Pond
L0009693,MUVICTO,Fountain
L0013748,EMLVQNK,Pet Waste Station
L0011467,ILIVTXD,Pet Waste Station
L0007309,DPFKGFL,Campsite
L0001782,HJPARMV,Entrance
L0009386,FYDEXLC,Fountain
L0009079,FIKHDPD,Bridge
L0003756,AXOKPWL,Waterfall
L0001475,HVTPXWE,Restroom
L0001168,IFPFNZZ,Fountain
L0008734,UUPBNNC,Entrance
L0014866,YRAKVFE,Pond
L0010508,RVPKQEJ,Bridge
L0012585,MQOHRJG,Entrance
L0008427,OLXKQVM,Waterfall
L0006146,MJEFDUP,Bridge
L0012278,RUWGNCM,Campsite
L0014559,WGZMUPT,Visitor Center
L0004874,NHQFCFL,Fountain
L0002593,ZKBPWIX,Entrance
L0000516,VSRQITR,Fountain
L0002286,LAEHUOQ,Parking Area
L0000209,OSAHADC,Rock Formation
L0009852,ZEMZCUM,Campsite
L0013907,BLQYFXV,Restroom
L0011626,JYVBVQM,Campsite
L0015984,GKOWHYQ,Waterfall
L0009545,NRCVFWI,Pet Waste Station
L0007264,WXLPQXG,Restroom
L0001941,OMGFCCY,Visitor Center
L0011319,ZWXTWTK,Pond
L0005992,VWRXCTS,Cave
L0003915,YIQYEFM,Campsite
L0001634,RWBISTF,Picnic Area
L0009238,DSJQRBK,Restroom
L0013396,FJMMIAR,Pond
L0001327,VFWHVJK,Gazebo
L0012744,AICZALB,Parking Area
L0008382,IIYGKOP,Historic Site
L0006305,ZLBVYTR,Cave
L0010156,KNYCREX,Gazebo
L0012437,XFBEPWH,Parking Area
L0008075,GWPVLZP,Fountain
L0002752,HPYTYYB,Overlook
L0000471,GSUANKQ,Fountain
L0014718,ZIOLFIC,Overlook
L0002445,QLTTKBL,Historic Site
L0000164,JMGRKRK,Rock Formation
L0013862,FWRZGTG,Gazebo
L0011581,VCUKCTI,Garden
L0009704,OCAXUKN,Campsite
L0007423,ARQFLXM,Overlook
L0013555,FLDHINR,Fountain
L0011274,FCQZFTN,Gazebo
L0009193,QXBGRYI,Fountain
L0003870,LVMMUFM,Restroom
L0007116,LDRHVHG,Gazebo
L0003563,XYRIMLK,Picnic Area
L0001282,FZLLEVM,Pet Waste Station
L0012903,ABDOAAF,Gazebo
L0014980,IFJFFPJ,Waterfall
L0008541,FYSVXBC,Historic Site
L0014673,DGKVVYB,Overlook
L0010315,TIWYVZC,Restroom
L0012392,CSVDPHN,Pond
L0008234,AWNTGWR,Cave
L0002911,JFNRPMW,Parking Area
L0000630,ETKTRYP,Restroom
L0010008,EGESZLP,Pond
L0002604,POWDPZM,Waterfall
L0000323,JMAVDOM,Waterfall
L0012085,JYYFRKB,Pond
L0000016,FJEXNFA,Gazebo
L0011740,FBNYTAN,Pet Waste Station
L0013714,ZDKUPHK,Entrance
L0011433,SJISTNX,Rock Formation
L0015791,YSOBMWD,Pond
L0009352,SYNTACC,Parking Area
L0007071,YAIAJEU,Rock Formation
L0011126,ADTBQCH,Garden
L0009045,MOJTPNB,Fountain
L0003722,IDMWYOU,Pet Waste Station
L0001441,QYYMULS,Gazebo
L0001134,UXJMKWL,Bridge
L0016104,WZYIRYS,Garden
L0008700,QWMGQNC,Overlook
L0014832,ILOZKLS,Picnic Area
L0012551,QSDGMIA,Garden
L0010270,AOZKADN,Historic Site
L0006112,YSPKGYI,Waterfall
L0012244,MDYQBFA,Waterfall
L0015950,HQYWUXT,Parking Area
L0009511,CXLDKMA,Bridge
L0007230,PUZYREB,Waterfall
L0013362,DZMBLDZ,Picnic Area
L0011081,QLMMIQR,Historic Site
L0009204,QGMZQZN,Visitor Center
L0001600,PXOPEUN,Garden
L0012710,YYZEVDA,Restroom
L0006889,OMMDZJE,Bridge
L0012403,IBRQFNA,Pond
L0010122,NTUHUNY,Historic Site
L0008041,SWJGDGG,Rock Formation
L0000130,NWAMXIG,Garden
L0013521,GEYMPVW,Bridge
L0011240,TUYWUAH,Picnic Area
L0004767,NMLFXFU,Visitor Center
L0010899,LRVCGQD,Entrance
L0008200,DEHZOOR,Picnic Area
L0002179,MTNBZSZ,Gazebo
L0015877,WBQQITB,Visitor Center
L0013289,JVSARAY,Entrance
L0005885,ZICSBQJ,Pet Waste Station
L0007859,NUWYIRG,Rock Formation
L0005578,MDOHBKQ,Campsite
L0003297,UQWGJJB,Picnic Area
L0004926,QBLZGWA,Rock Formation
L0008977,DCQOZNE,Waterfall
L0006696,HEBQFTC,Campsite
L0004619,TZCMVDP,Rock Formation
L0002338,LKHKNQG,Historic Site
L0006389,WMYRERX,Overlook
L0015729,NZMKPIL,Restroom
L0013448,SSWYPLV,Pet Waste Station
L0005737,DKZARJN,Pet Waste Station
L0003456,YAUKNCO,Campsite
L0003149,AVKGMOX,Pond
L0014566,LEQPTUP,Parking Area
L0004881,GCXWCMR,Gazebo
L0014259,VTKEPUE,Bridge
L0006855,NFHTBNB,Campsite
L0004574,XTKDQIS,Cave
L0002293,ABCYDMT,Gazebo
L0006548,OQQPUYS,Bridge
L0004267,DQUTJDB,Overlook
L0013607,KZAEGLX,Rock Formation
L0015684,UJTCYVT,Pet Waste Station
L0015377,YHSWXGD,Parking Area
L0011019,GLSNECG,Visitor Center
L0007973,WNAWQTG,Entrance
L0005692,OATZZXR,Rock Formation
L0003615,GBFEDTY,Parking Area
L0013096,LIOUURR,Gazebo
L0005385,LPVVUWL,Pond
L0003308,HXWOXWY,Pet Waste Station
L0001027,CCGMBCR,Bridge
L0014725,JWHQSMF,Cave
L0014418,JQQAFRZ,Restroom
L0012137,GBILCKR,Cave
L0004733,WNVOZND,Visitor Center
L0002452,CJMFBGC,Entrance
L0010865,LIHKVMY,Historic Site
L0006707,AZKEGNC,Parking Area
L0004426,FNHMMGG,Overlook
L0002145,YPYSVTN,Parking Area
L0004119,XGKAHGR,Rock Formation
L0015843,PEHERPA,Waterfall
L0015536,ALIFVBH,Rock Formation
L0013255,UXTOARE,Restroom
L0005851,IZIORBC,Entrance
L0003570,GHTVKHW,Picnic Area
L0015229,TNQKAVE,Historic Site
L0005544,XFIGGIW,Cave
L0003263,UTIZMSP,Historic Site
L0014680,ALCTQHZ,Fountain
L0014373,YRQTNXC,Picnic Area
L0012092,UGCWTJO,Rock Formation
L0002611,FRIUWOG,Pet Waste Station
L0014066,OZULYVP,Parking Area
L0006662,DOVFDCW,Pond
L0004381,NYGWDNB,Historic Site
L0002304,UWGKKDR,Restroom
L0000023,SWVIMSK,Waterfall
L0004074,PVJBSSZ,Gazebo
L0013414,CDSSQMF,Pond
L0015491,FUMMRYS,Historic Site
L0009052,LRXCJUI,Waterfall
L0013107,WMBHCPS,Picnic Area
L0015184,IUAYTVZ,Historic Site
L0005703,YOASAPG,Parking Area
L0003422,JGLHBOK,Garden
L0001141,EYFTODT,Entrance
L0003115,CFZHEOT,Campsite
L0014532,SUYIDCG,Historic Site
L0012251,LMCRFDL,Pet Waste Station
L0014225,YHOJMNH,Historic Site
L0006821,ORHQPCI,Restroom
L0004540,OEMZGIX,Waterfall
L0004233,PDZCAQG,Waterfall
L0015650,MGBTFRR,Historic Site
L0009211,LGUYFGH,Campsite
L0015343,LLEXPTB,Restroom
L0013062,DQBIBZY,Cave
L0001300,FHFEIPQ,Campsite
L0003070,UKUWDQR,Rock Formation
L0012410,WQVANGI,Fountain
L0012103,IHAZXAK,Gazebo
L0000959,INRYPHS,Overlook
L0014180,JEDPUOE,Bridge
L0002111,BPTQFJB,Cave
L0009988,FJRWVWV,Rock Formation
L0015502,MKDYZFT,Picnic Area
L0013221,XCEMWHN,Parking Area
L0010599,MSLTTAH,Gazebo
L0014032,FOQZIPA,Parking Area
L0002888,XJKQBEA,Picnic Area
L0007866,MUGPONU,Bridge
L0013998,WBGFTMB,Parking Area
L0007559,WRTOENP,Pond
L0005278,FNAZCSE,Bridge
L0001929,UPSVWMU,Bridge
L0008984,PBTTPKJ,Pet Waste Station
L0010758,FGFVPLO,Rock Formation
L0008677,JUGTJLD,Fountain
L0006396,ZDSQQGX,Overlook
L0006089,OPKGSBX,Pet Waste Station
L0000766,SRQFYBQ,Visitor Center
L0000459,YQASZBQ,Campsite
L0011876,TRZIPNO,Parking Area
L0007718,MSGJFLC,Restroom
L0005437,VHCHHHF,Bridge
L0009795,FBHHSTS,Entrance
L0011569,WYCXEBN,Parking Area
L0009488,TLWAIAB,Historic Site
L0001884,PYMBTSG,Garden
L0001577,KELGXYM,Pond
L0010917,PGPUKYM,Pet Waste Station
L0012994,QDGLWKH,Garden
L0008836,RLEDKCN,Historic Site
L0006555,JWSFGXL,Pet Waste Station
L0012687,DLMYYAM,Restroom
L0008529,AIUTIWV,Parking Area
L0006248,OOBTNQW,Entrance
L0000925,YDOSLXN,Bridge
L0010099,KEXRYJD,Pet Waste Station
