LANDMARK_ID,LANDMARK_ID,DISTANCE
L0000049,L0000011,37
L0000039,L0000029,22
L0000048,L0000005,16
L0000012,L0000022,38
L0000061,L0000036,23
L0000025,L0000059,5
L0000008,L0000016,51
L0000048,L0000041,27
L0000017,L0000040,43
L0000035,L0000058,43
L0000058,L0000021,44
L0000042,L0000049,2
L0000055,L0000042,46
L0000019,L0000009,62
L0000062,L0000036,59
L0000031,L0000046,45
L0000053,L0000038,55
L0000058,L0000043,57
L0000024,L0000025,56
L0000013,L0000029,44
L0000018,L0000007,43
L0000041,L0000013,32
L0000057,L0000026,12
L0000044,L0000051,22
L0000056,L0000029,43
L0000023,L0000062,20
L0000031,L0000050,42
L0000016,L0000015,21
L0000062,L0000060,14
L0000022,L0000057,56
L0000002,L0000058,54
L0000003,L0000051,28
L0000022,L0000036,61
L0000064,L0000022,48
L0000024,L0000027,26
L0000060,L0000053,33
L0000020,L0000030,4
L0000044,L0000028,15
L0000020,L0000033,18
L0000010,L0000060,42
L0000025,L0000019,62
L0000034,L0000062,55
L0000056,L0000008,41
L0000057,L0000054,22
L0000063,L0000016,52
L0000034,L0000009,20
L0000033,L0000037,28
L0000022,L0000032,47
L0000012,L0000052,25
L0000043,L0000015,51
L0000064,L0000055,51
L0000029,L0000055,40
L0000006,L0000020,58
L0000031,L0000001,47
L0000014,L0000030,29
L0000007,L0000029,33
L0000028,L0000015,53
L0000030,L0000004,33
L0000030,L0000029,21
L0000022,L0000040,32
L0000045,L0000064,30
L0000047,L0000051,2
L0000001,L0000025,20
