LANDMARK_ID,LANDMARK_ID,DISTANCE
L0000817,L0003710,3142
L0001345,L0000853,3950
L0002138,L0001605,3166
L0002553,L0000416,775
L0003731,L0001850,79
L0001258,L0001671,425
L0003278,L0001611,3853
L0003616,L0003320,3999
L0003251,L0002849,2813
L0000432,L0002527,824
L0002973,L0002188,3190
L0000822,L0000353,2973
L0000733,L0001229,2895
L0001085,L0001616,1785
L0000863,L0000048,3311
L0003279,L0001111,460
L0001052,L0000543,3957
L0003239,L0000016,1372
L0003072,L0002453,2333
L0003513,L0002727,1408
L0001644,L0001737,2268
L0003674,L0002036,1795
L0003382,L0001409,3342
L0003139,L0003023,3016
L0000665,L0003151,388
L0001212,L0002952,3549
L0002124,L0003986,45
L0000015,L0000681,3191
L0000057,L0002999,1418
L0003847,L0001923,151
L0003899,L0002731,3557
L0003131,L0002952,1465
L0001653,L0003816,3246
L0002810,L0002451,928
L0002489,L0003883,1119
L0003646,L0003564,2702
L0002495,L0003628,986
L0001171,L0001903,2281
L0001542,L0001609,2434
L0000222,L0001154,580
L0003744,L0002742,3358
L0000727,L0003270,707
L0001109,L0000812,2042
L0003610,L0000984,106
L0000862,L0002323,1484
L0002349,L0001885,3155
L0000469,L0003798,2670
L0000842,L0002860,3366
L0002409,L0001092,1705
L0001416,L0002318,2978
L0000814,L0002159,3573
L0002539,L0003175,2056
L0003315,L0003549,1092
L0002088,L0001708,1448
L0001724,L0002671,691
L0002723,L0002638,655
L0003683,L0003816,2225
L0002438,L0001514,2987
L0003965,L0003408,1838
L0003770,L0000376,776
L0002503,L0002887,1255
L0001373,L0000986,3808
L0002767,L0000571,1154
L0001817,L0001268,49
L0001627,L0001673,665
L0003839,L0003738,3237
L0003656,L0000997,774
L0000145,L0001268,1491
L0003780,L0001911,3518
L0003153,L0000605,1105
L0002033,L0001507,334
L0001468,L0002723,406
L0000726,L0001621,3567
L0000888,L0001781,58
L0002304,L0000168,2037
L0000564,L0002666,3666
L0001053,L0003637,532
L0001553,L0000826,1865
L0002682,L0003719,3911
L0003062,L0002064,261
L0000935,L0000579,1938
L0001041,L0003134,2405
L0001753,L0001894,3519
L0002722,L0002945,753
L0002485,L0003084,2163
L0002836,L0001763,2422
L0000770,L0000927,202
L0002057,L0003796,1461
L0003078,L0000523,1468
L0001885,L0002591,521
L0003339,L0000552,455
L0000615,L0003520,3436
L0004094,L0001610,1172
L0004088,L0000854,1694
L0001455,L0002700,2010
L0001547,L0000321,1025
L0001123,L0000232,1081
L0000271,L0003650,1496
L0001887,L0004085,237
L0001069,L0000229,1177
L0004007,L0000464,3514
L0002763,L0000915,1190
L0001961,L0000628,838
L0002751,L0003087,555
L0000353,L0003017,1163
L0001202,L0000621,2536
L0002892,L0001353,3215
L0000509,L0001332,1029
L0002747,L0001694,3665
L0002188,L0001530,2913
