LANDMARK_ID,LANDMARK_ID,DISTANCE
L0012197,L0009129,33255
L0023809,L0039819,7166
L0055995,L0006232,22823
L0004623,L0003276,47363
L0049012,L0009878,26620
L0013081,L0002193,63169
L0063928,L0063006,43144
L0058933,L0061283,24400
L0052108,L0032969,29450
L0031894,L0039382,2851
L0038908,L0004272,50128
L0045271,L0042309,50954
L0028206,L0009358,7713
L0045936,L0006626,47718
L0035519,L0049866,56584
L0048910,L0020830,62437
L0011275,L0010142,21068
L0039162,L0059478,26871
L0011591,L0055846,14191
L0032812,L0020047,6900
L0007765,L0031612,6462
L0010272,L0028244,46775
L0062826,L0041399,65023
L0054408,L0031292,24743
L0017010,L0024303,52401
L0061332,L0063601,32480
L0021960,L0035155,14774
L0029011,L0031669,13886
L0051388,L0025668,22725
L0014729,L0049746,2734
L0043590,L0026116,42365
L0022627,L0055967,38286
L0047921,L0049812,49038
L0058992,L0064731,49670
L0012435,L0029657,34378
L0042012,L0045552,65011
L0049398,L0017717,26477
L0023539,L0019067,2973
L0064354,L0030093,53233
L0036173,L0020876,33936
L0028693,L0054226,15952
L0029758,L0016226,15039
L0026748,L0049942,6427
L0041802,L0059878,23242
L0057518,L0007548,16816
L0047448,L0003942,62389
L0062734,L0023985,34388
L0046402,L0010569,22521
L0018544,L0049849,40789
L0053400,L0003426,63664
L0061137,L0047971,51791
L0024723,L0014260,63946
L0027346,L0021709,2900
L0062880,L0013827,39217
L0045684,L0021763,36991
L0058514,L0060389,62187
L0046010,L0006987,26920
L0063743,L0063514,10872
L0063989,L0003734,24685
L0038956,L0036597,34512
L0018034,L0015421,51800
L0010953,L0064624,50760
L0025537,L0038290,31532
L0055853,L0033165,38253
L0052127,L0002996,25396
L0020908,L0027925,60547
L0011003,L0065245,15310
L0016687,L0017829,60610
L0028439,L0038400,47908
L0027826,L0003563,58343
L0024519,L0037771,52466
L0059800,L0046333,15337
L0024196,L0005630,42460
L0019790,L0037995,30848
L0048261,L0004792,61625
L0050306,L0051553,19095
L0010569,L0007118,18140
L0024568,L0006171,44616
L0059955,L0008500,30510
L0027060,L0020534,23774
L0032217,L0023922,11312
L0024663,L0020477,18566
L0043605,L0023665,27756
L0018090,L0011536,12973
L0002107,L0058685,64546
L0012179,L0002725,9920
L0032995,L0023006,30016
L0011526,L0024304,33824
L0065245,L0057874,38858
L0044638,L0019389,21083
L0042895,L0062229,4589
L0064015,L0032354,50255
L0015542,L0010194,61407
L0054935,L0047533,61875
L0005579,L0035750,34727
L0065207,L0010830,38638
L0012300,L0063451,43188
L0037970,L0044027,19030
L0042287,L0001289,33150
L0012929,L0012885,7650
L0001212,L0023196,33942
L0009577,L0051869,43825
L0047565,L0019353,34032
L0037007,L0035679,64014
L0037103,L0026369,61386
L0025079,L0006239,21301
L0052943,L0008812,29304
L0041973,L0018496,8683
L0022807,L0021793,35686
L0046701,L0060677,33802
L0009783,L0019212,45869
L0055221,L0016171,64548
L0013924,L0048650,25967
L0052858,L0029386,40837
L0042699,L0053503,63543
L0014652,L0026018,6005
