LANDMARK_ID,DESCRIPTION,TYPE
L0003020,APXWXKG,Entrance
L0001866,ZQABENP,Bridge
L0001920,CHVWSXZ,Entrance
L0000179,WXYUUOU,Entrance
L0000233,OTVIEMS,Entrance
L0002468,OOHDANV,Rock Formation
L0002522,TPQJXPR,Visitor Center
L0003606,SHAMTAL,Campsite
L0001390,WYBNISD,Rock Formation
L0000337,XAYFWYQ,Visitor Center
L0002474,AMKGPBU,Parking Area
L0003076,SWHVMLA,Campsite
L0003130,MLGOVEE,Pet Waste Station
L0001976,GHTXKSL,Gazebo
L0002578,JLGITKD,Visitor Center
L0002632,RVJMIJR,Parking Area
L0003234,FKOAEFV,Garden
L0000447,UKQQONV,Overlook
L0000501,ZPNBXWM,Overlook
L0002736,TNJGVIP,Waterfall
L0001049,SSDWZKN,Waterfall
L0001103,ILMUXOF,Bridge
L0003240,LYDIEFD,Gazebo
L0000605,UGBTEFW,Garden
L0001207,IUAJZAH,Entrance
L0002688,QONMMQP,Campsite
L0002742,ZIOLYSJ,Pond
L0003344,CMRDFUI,Waterfall
L0000075,COUGUBU,Parking Area
L0004000,OZMCVOS,Garden
L0002846,CTYBJGC,Garden
L0002900,WEDNZAN,Pet Waste Station
L0001159,SINYTSH,Restroom
L0001213,CBSFOAD,Fountain
L0003448,TGBRUCJ,Waterfall
L0003502,XYZXFVW,Garden
L0000715,KFKLOQZ,Visitor Center
L0000081,PGJULQY,Visitor Center
L0002370,TVDDENE,Restroom
L0001317,DUVSVKJ,Rock Formation
L0001872,XPIIUCZ,Historic Site
L0000819,LCRDLCF,Garden
L0000185,CUSJLUO,Campsite
L0003454,DSKVAAE,Entrance
L0004056,QVYMMQT,Campsite
L0002956,WQBRTGW,Campsite
L0003558,UKFNEWN,Fountain
L0003612,OWEABEX,Rock Formation
L0000289,ITGZACY,Bridge
L0000343,VRJUNXQ,Picnic Area
L0002480,TEQSQIF,Waterfall
L0001427,AYBKSWP,Gazebo
L0003716,BIGZZMR,Parking Area
L0003082,LRNAKYE,Bridge
L0002029,PPDTMAO,Overlook
L0001982,HCCIEHT,Waterfall
L0000929,WBVPVPV,Gazebo
L0000295,RRNQCCP,Cave
L0002584,UAEDDRJ,Pond
L0003186,XRMCEEM,Fountain
L0003668,CYVPRJO,Picnic Area
L0003722,ZNESROQ,Waterfall
L0000399,XGDKBCA,Bridge
L0000453,CXVUVRM,Pet Waste Station
L0001055,DWHWXPI,Restroom
L0002590,XYUCFVQ,Fountain
L0003826,NTZVVTJ,Parking Area
L0003192,RIJBEVC,Entrance
L0000557,JIJHDGP,Parking Area
L0000611,IRAMKGY,Entrance
L0002694,XRWSPKR,Fountain
L0003296,MQJCTAN,Visitor Center
L0003350,MZDWJNJ,Entrance
L0000563,WGRROGZ,Garden
L0002798,SMWKXZY,Gazebo
L0002852,SWUIDQM,Picnic Area
L0001165,BKYDVAH,Waterfall
L0003936,GSIJFEF,Pet Waste Station
L0000667,WOIYOCA,Entrance
L0000721,UGILEHS,Rock Formation
L0001269,YXPHOKI,Fountain
L0001323,DFJYLGL,Parking Area
L0003460,PVORLTX,Entrance
L0000825,RVFSESV,Rock Formation
L0000191,XCQHSVP,Gazebo
L0002407,JCJBBDJ,Rock Formation
L0003009,ZLONGIC,Bridge
L0004062,KBIHVWM,Fountain
L0002962,CHMCHKU,Picnic Area
L0001909,KKDPLIT,Waterfall
L0003564,JGNLCAC,Cave
L0000777,SHMWIPD,Waterfall
L0000831,CYHNRDY,Garden
L0001379,DRSMIRA,Waterfall
L0001433,CFXZBJJ,Parking Area
L0002035,UMIVSOU,Restroom
L0000935,SINUAQF,Gazebo
L0001537,ZZYKJIX,Restroom
L0002139,AMHDLQE,Pet Waste Station
L0003674,NFKUKBN,Historic Site
L0001061,CPMANEK,Pond
L0000008,JKSWGTU,Waterfall
L0001489,VLDVSHJ,Overlook
L0001543,FCILVRF,Fountain
L0003778,HNWTFJY,Fountain
L0003832,TQVZLHF,Waterfall
L0002145,DEJCKUH,Bridge
L0001647,EIMNMGS,Gazebo
L0001701,ZUWMPOZ,Historic Site
L0002249,AQUICAQ,Pet Waste Station
L0002303,VZSEGCH,Visitor Center
L0001805,DYFSTEM,Bridge
L0001171,GLUPBAP,Pet Waste Station
L0000118,HOGSITB,Pet Waste Station
L0003888,XADVSOT,Historic Site
L0003942,KSACBDD,Restroom
L0000673,ZUSOYWE,Entrance
L0001275,SVYVPEU,Pond
L0001757,EXCAADS,Rock Formation
L0001811,YUWBMOY,Bridge
L0002359,ZBCQUKF,Pond
L0002413,UBLXBCP,Overlook
L0003015,JIOEAVN,Visitor Center
L0001915,OXROGTC,Visitor Center
L0001281,AAJWNCK,Cave
L0000228,WHXPOAW,Pond
L0002517,EZNOWGL,Campsite
L0003570,MUTADTY,Visitor Center
L0003998,BMCDFXI,Picnic Area
L0003119,BNQWFUG,Waterfall
L0000783,RUYKYDE,Pet Waste Station
L0001385,DCUCPEI,Waterfall
L0002041,OHZAQUQ,Pet Waste Station
L0000887,JMQSXYI,Picnic Area
L0000941,AKTZGRZ,Cave
L0003125,GTEALYX,Garden
L0003680,MOOEFNW,Cave
L0002627,JCWMKWG,Bridge
L0003229,IRDNYRA,Picnic Area
L0000893,OAVZSIT,Waterfall
L0000014,ZEHNNZU,Fountain
L0001495,ETYCANN,Overlook
L0003784,RLDWHYF,Pet Waste Station
L0002097,EJJXCUP,Rock Formation
L0002151,QMEAVXX,Cave
L0000997,XOFTGIM,Rock Formation
